District Code,District Name
0,ALL
10017,Alameda County Office of Education
10025,Alpine County Office of Education
10033,Amador County Office of Education
10041,Butte County Office of Education
10058,Calaveras County Office of Education
10066,Colusa County Office of Education
10074,Contra Costa County Office of Education
10082,Del Norte County Office of Education
10090,El Dorado County Office of Education
10108,Fresno County Office of Education
10116,Glenn County Office of Education
10124,Humboldt County Office of Education
10132,Imperial County Office of Education
10140,Inyo County Office of Education
10157,Kern County Office of Education
10165,Kings County Office of Education
10173,Lake County Office of Education
10181,Lassen County Office of Education
10199,Los Angeles County Office of Education
10207,Madera County Office of Education
10215,Marin County Office of Education
10223,Mariposa County Office of Education
10231,Mendocino County Office of Education
10249,Merced County Office of Education
10256,Modoc County Office of Education
10264,Mono County Office of Education
10272,Monterey County Office of Education
10280,Napa County Office of Education
10298,Nevada County Office of Education
10306,Orange County Department of Education
10314,Placer County Office of Education
10322,Plumas County Office of Education
10330,Riverside County Office of Education
10348,Sacramento County Office of Education
10355,San Benito County Office of Education
10363,San Bernardino County Office of Educatio
10371,San Diego County Office of Education
10389,San Francisco County Office of Education
10397,San Joaquin County Office of Education
10405,San Luis Obispo County Office of Educati
10413,San Mateo County Office of Education
10421,Santa Barbara County Office of Education
10439,Santa Clara County Office of Education
10447,Santa Cruz County Office of Education
10454,Shasta County Office of Education
10462,Sierra County Office of Education
10470,Siskiyou County Office of Education
10488,Solano County Office of Education
10496,Sonoma County Office of Education
10504,Stanislaus County Office of Education
10512,Sutter County Office of Education
10520,Tehama County Office of Education
10538,Trinity County Office of Education
10546,Tulare County Office of Education
10553,Tuolumne County Superintendent of School
10561,Ventura County Office of Education
10579,Yolo County Office of Education
10587,Yuba County Office of Education
31609,California School for the Blind (State S
31617,California School for the Deaf-Fremont (
31625,California School for the Deaf-Riverside
32276,California Education Authority
61119,Alameda City Unified
61127,Albany City Unified
61143,Berkeley Unified
61150,Castro Valley Unified
61168,Emery Unified
61176,Fremont Unified
61192,Hayward Unified
61200,Livermore Valley Joint Unified
61218,Mountain House Elementary
61234,Newark Unified
61242,New Haven Unified
61259,Oakland Unified
61275,Piedmont City Unified
61291,San Leandro Unified
61309,San Lorenzo Unified
61333,Alpine County Unified
61382,Bangor Union Elementary
61408,Biggs Unified
61424,Chico Unified
61432,Durham Unified
61440,Feather Falls Union Elementary
61457,Golden Feather Union Elementary
61499,Manzanita Elementary
61507,Oroville City Elementary
61515,Oroville Union High
61523,Palermo Union Elementary
61531,Paradise Unified
61549,Thermalito Union Elementary
61556,Bret Harte Union High
61564,Calaveras Unified
61572,Mark Twain Union Elementary
61580,Vallecito Union
61598,Colusa Unified
61606,Maxwell Unified
61614,Pierce Joint Unified
61622,Williams Unified
61630,Acalanes Union High
61648,Antioch Unified
61655,Brentwood Union Elementary
61663,Byron Union Elementary
61671,Canyon Elementary
61697,John Swett Unified
61705,Knightsen Elementary
61713,Lafayette Elementary
61721,Liberty Union High
61739,Martinez Unified
61747,Moraga Elementary
61754,Mt. Diablo Unified
61762,Oakley Union Elementary
61770,Orinda Union Elementary
61788,Pittsburg Unified
61796,West Contra Costa Unified
61804,San Ramon Valley Unified
61812,Walnut Creek Elementary
61820,Del Norte County Unified
61838,Buckeye Union Elementary
61846,Camino Union Elementary
61853,El Dorado Union High
61879,Gold Oak Union Elementary
61887,Gold Trail Union Elementary
61895,Indian Diggings Elementary
61903,Lake Tahoe Unified
61911,Latrobe
61929,Mother Lode Union Elementary
61945,Pioneer Union Elementary
61952,Placerville Union Elementary
61960,Pollock Pines Elementary
61978,Rescue Union Elementary
61986,Silver Fork Elementary
61994,Alvina Elementary
62026,Big Creek Elementary
62042,Burrel Union Elementary
62109,Clay Joint Elementary
62117,Clovis Unified
62125,Coalinga-Huron Joint Unified
62158,Fowler Unified
62166,Fresno Unified
62240,Kingsburg Elementary Charter
62257,Kingsburg Joint Union High
62265,Kings Canyon Joint Unified
62281,Laton Joint Unified
62323,Monroe Elementary
62331,Orange Center
62356,Pacific Union Elementary
62364,Parlier Unified
62372,Pine Ridge Elementary
62380,Raisin City Elementary
62414,Sanger Unified
62430,Selma Unified
62513,Washington Colony Elementary
62539,West Park Elementary
62547,Westside Elementary
62554,Capay Joint Union Elementary
62596,Lake Elementary
62638,Plaza Elementary
62646,Princeton Joint Unified
62653,Stony Creek Joint Unified
62661,Willows Unified
62679,Arcata Elementary
62687,Northern Humboldt Union High
62695,Big Lagoon Union Elementary
62703,Blue Lake Union Elementary
62729,Bridgeville Elementary
62737,Cuddeback Union Elementary
62745,Cutten Elementary
62794,Fieldbrook Elementary
62810,Fortuna Union High
62828,Freshwater Elementary
62836,Garfield Elementary
62851,Green Point Elementary
62885,Hydesville Elementary
62893,Jacoby Creek Elementary
62901,Klamath-Trinity Joint Unified
62919,Kneeland Elementary
62927,Loleta Union Elementary
62935,Maple Creek Elementary
62950,McKinleyville Union Elementary
62968,Orick Elementary
62976,Pacific Union Elementary
62984,Peninsula Union
63008,Rio Dell Elementary
63024,Scotia Union Elementary
63032,South Bay Union Elementary
63040,Southern Humboldt Joint Unified
63057,Trinidad Union Elementary
63073,Brawley Elementary
63081,Brawley Union High
63099,Calexico Unified
63107,Calipatria Unified
63115,Central Union High
63123,El Centro Elementary
63131,Heber Elementary
63149,Holtville Unified
63164,Imperial Unified
63172,Magnolia Union Elementary
63180,McCabe Union Elementary
63198,Meadows Union Elementary
63206,Mulberry Elementary
63214,San Pasqual Valley Unified
63222,Seeley Union Elementary
63230,Westmorland Union Elementary
63248,Big Pine Unified
63271,Death Valley Unified
63289,Lone Pine Unified
63297,Owens Valley Unified
63305,Round Valley Joint Elementary
63313,Arvin Union Elementary
63321,Bakersfield City
63339,Beardsley Elementary
63347,Belridge Elementary
63354,Blake Elementary
63362,Panama-Buena Vista Union
63370,Buttonwillow Union Elementary
63388,Caliente Union Elementary
63404,Delano Union Elementary
63412,Delano Joint Union High
63420,Di Giorgio Elementary
63438,Edison Elementary
63446,Elk Hills Elementary
63461,Fairfax Elementary
63479,Fruitvale Elementary
63487,General Shafter Elementary
63503,Greenfield Union
63529,Kern Union High
63545,Kernville Union Elementary
63552,Lakeside Union
63560,Lamont Elementary
63578,Richland Union Elementary
63586,Linns Valley-Poso Flat Union
63594,Lost Hills Union Elementary
63610,Maple Elementary
63628,Maricopa Unified
63651,McKittrick Elementary
63669,Midway Elementary
63677,Mojave Unified
63685,Muroc Joint Unified
63693,Norris Elementary
63719,Pond Union Elementary
63750,Rosedale Union Elementary
63768,Semitropic Elementary
63776,Southern Kern Unified
63784,South Fork Union
63792,Standard Elementary
63800,Taft City
63818,Taft Union High
63826,Tehachapi Unified
63834,Vineland Elementary
63842,Wasco Union Elementary
63859,Wasco Union High
63875,Armona Union Elementary
63883,Central Union Elementary
63891,Corcoran Joint Unified
63917,Hanford Elementary
63925,Hanford Joint Union High
63933,Island Union Elementary
63941,Kings River-Hardwick Union Elementary
63958,Kit Carson Union Elementary
63966,Lakeside Union Elementary
63974,Lemoore Union Elementary
63982,Lemoore Union High
63990,Pioneer Union Elementary
64014,Kelseyville Unified
64022,Konocti Unified
64030,Lakeport Unified
64048,Lucerne Elementary
64055,Middletown Unified
64063,Upper Lake Union Elementary
64071,Upper Lake Union High
64089,Big Valley Joint Unified
64105,Janesville Union Elementary
64113,Johnstonville Elementary
64139,Lassen Union High
64162,Ravendale-Termo Elementary
64170,Richmond Elementary
64188,Shaffer Union Elementary
64196,Susanville Elementary
64204,Westwood Unified
64212,ABC Unified
64246,Antelope Valley Union High
64261,Arcadia Unified
64279,Azusa Unified
64287,Baldwin Park Unified
64295,Bassett Unified
64303,Bellflower Unified
64311,Beverly Hills Unified
64329,Bonita Unified
64337,Burbank Unified
64345,Castaic Union Elementary
64352,Centinela Valley Union High
64378,Charter Oak Unified
64394,Claremont Unified
64436,Covina-Valley Unified
64444,Culver City Unified
64451,Downey Unified
64469,Duarte Unified
64477,Eastside Union Elementary
64485,East Whittier City Elementary
64501,El Monte City Elementary
64519,El Monte Union High
64527,El Rancho Unified
64535,El Segundo Unified
64550,Garvey Elementary
64568,Glendale Unified
64576,Glendora Unified
64584,Gorman Elementary
64592,Hawthorne
64600,Hermosa Beach City Elementary
64626,Hughes-Elizabeth Lakes Union Elementary
64634,Inglewood Unified
64642,Keppel Union Elementary
64659,La Canada Unified
64667,Lancaster Elementary
64683,Las Virgenes Unified
64691,Lawndale Elementary
64709,Lennox
64717,Little Lake City Elementary
64725,Long Beach Unified
64733,Los Angeles Unified
64758,Los Nietos
64766,Lowell Joint
64774,Lynwood Unified
64790,Monrovia Unified
64808,Montebello Unified
64816,Mountain View Elementary
64832,Newhall
64840,Norwalk-La Mirada Unified
64857,Palmdale Elementary
64865,Palos Verdes Peninsula Unified
64873,Paramount Unified
64881,Pasadena Unified
64907,Pomona Unified
64931,Rosemead Elementary
64964,San Marino Unified
64980,Santa Monica-Malibu Unified
64998,Saugus Union
65029,South Pasadena Unified
65037,South Whittier Elementary
65045,Sulphur Springs Union
65052,Temple City Unified
65060,Torrance Unified
65078,Valle Lindo Elementary
65094,West Covina Unified
65102,Westside Union Elementary
65110,Whittier City Elementary
65128,Whittier Union High
65136,William S. Hart Union High
65151,Wilsona Elementary
65169,Wiseburn Elementary
65177,Alview-Dairyland Union Elementary
65185,Bass Lake Joint Union Elementary
65193,Chowchilla Elementary
65201,Chowchilla Union High
65243,Madera Unified
65276,Raymond-Knowles Union Elementary
65300,Bolinas-Stinson Union
65318,Dixie Elementary
65334,Kentfield Elementary
65342,Laguna Joint Elementary
65359,Lagunitas Elementary
65367,Larkspur-Corte Madera
65375,Lincoln Elementary
65391,Mill Valley Elementary
65409,Nicasio
65417,Novato Unified
65425,Reed Union Elementary
65433,Ross Elementary
65458,San Rafael City Elementary
65466,San Rafael City High
65474,Sausalito Marin City
65482,Tamalpais Union High
65516,Union Joint Elementary
65532,Mariposa County Unified
65540,Anderson Valley Unified
65557,Arena Union Elementary
65565,Fort Bragg Unified
65573,Manchester Union Elementary
65581,Mendocino Unified
65599,Point Arena Joint Union High
65607,Round Valley Unified
65615,Ukiah Unified
65623,Willits Unified
65631,Atwater Elementary
65649,Ballico-Cressey Elementary
65680,El Nido Elementary
65698,Hilmar Unified
65722,Le Grand Union Elementary
65730,Le Grand Union High
65748,Livingston Union Elementary
65755,Los Banos Unified
65763,McSwain Union Elementary
65771,Merced City Elementary
65789,Merced Union High
65813,Plainsburg Union Elementary
65821,Planada Elementary
65839,Snelling-Merced Falls Union Elementary
65862,Weaver Union
65870,Winton Elementary
65896,Surprise Valley Joint Unified
65961,Alisal Union
65979,Bradley Union Elementary
65987,Carmel Unified
65995,Chualar Union
66027,Graves Elementary
66035,Greenfield Union Elementary
66050,King City Union
66068,South Monterey County Joint Union High
66076,Lagunita Elementary
66084,Mission Union Elementary
66092,Monterey Peninsula Unified
66134,Pacific Grove Unified
66142,Salinas City Elementary
66159,Salinas Union High
66167,San Antonio Union Elementary
66175,San Ardo Union Elementary
66183,San Lucas Union Elementary
66191,Santa Rita Union Elementary
66225,Spreckels Union Elementary
66233,Washington Union Elementary
66241,Calistoga Joint Unified
66258,Howell Mountain Elementary
66266,Napa Valley Unified
66282,Pope Valley Union Elementary
66290,Saint Helena Unified
66316,Chicago Park Elementary
66324,Clear Creek Elementary
66332,Grass Valley Elementary
66340,Nevada City Elementary
66357,Nevada Joint Union High
66373,Pleasant Ridge Union Elementary
66381,Pleasant Valley Elementary
66399,Ready Springs Union Elementary
66407,Union Hill Elementary
66415,Twin Ridges Elementary
66423,Anaheim City
66431,Anaheim Union High
66449,Brea-Olinda Unified
66456,Buena Park Elementary
66464,Capistrano Unified
66472,Centralia Elementary
66480,Cypress Elementary
66498,Fountain Valley Elementary
66506,Fullerton Elementary
66514,Fullerton Joint Union High
66522,Garden Grove Unified
66530,Huntington Beach City Elementary
66548,Huntington Beach Union High
66555,Laguna Beach Unified
66563,La Habra City Elementary
66589,Magnolia Elementary
66597,Newport-Mesa Unified
66613,Ocean View
66621,Orange Unified
66647,Placentia-Yorba Linda Unified
66670,Santa Ana Unified
66696,Savanna Elementary
66746,Westminster Elementary
66761,Ackerman Charter
66779,Alta-Dutch Flat Union Elementary
66787,Auburn Union Elementary
66795,Colfax Elementary
66803,Dry Creek Joint Elementary
66829,Eureka Union
66837,Foresthill Union Elementary
66845,Loomis Union Elementary
66852,Newcastle Elementary
66886,Placer Hills Union Elementary
66894,Placer Union High
66910,Roseville City Elementary
66928,Roseville Joint Union High
66944,Tahoe-Truckee Joint Unified
66951,Western Placer Unified
66969,Plumas Unified
66977,Alvord Unified
66985,Banning Unified
66993,Beaumont Unified
67033,Corona-Norco Unified
67041,Desert Center Unified
67058,Desert Sands Unified
67082,Hemet Unified
67090,Jurupa Unified
67116,Menifee Union Elementary
67124,Moreno Valley Unified
67157,Nuview Union
67173,Palm Springs Unified
67181,Palo Verde Unified
67199,Perris Elementary
67207,Perris Union High
67215,Riverside Unified
67231,Romoland Elementary
67249,San Jacinto Unified
67280,Arcohe Union Elementary
67314,Elk Grove Unified
67322,Elverta Joint Elementary
67330,Folsom-Cordova Unified
67348,Galt Joint Union Elementary
67355,Galt Joint Union High
67413,River Delta Joint Unified
67421,Robla Elementary
67439,Sacramento City Unified
67447,San Juan Unified
67454,Bitterwater-Tully Elementary
67462,Cienega Union Elementary
67470,Hollister
67488,Jefferson Elementary
67504,North County Joint Union Elementary
67520,Panoche Elementary
67538,San Benito High
67553,Southside Elementary
67561,Tres Pinos Union Elementary
67579,Willow Grove Union Elementary
67587,Adelanto Elementary
67595,Alta Loma Elementary
67611,Barstow Unified
67637,Bear Valley Unified
67645,Central Elementary
67652,Chaffey Joint Union High
67678,Chino Valley Unified
67686,Colton Joint Unified
67694,Cucamonga Elementary
67702,Etiwanda Elementary
67710,Fontana Unified
67736,Helendale Elementary
67777,Morongo Unified
67785,Mountain View Elementary
67793,Mt. Baldy Joint Elementary
67801,Needles Unified
67819,Ontario-Montclair Elementary
67827,Oro Grande Elementary
67843,Redlands Unified
67850,Rialto Unified
67868,Rim of the World Unified
67876,San Bernardino City Unified
67892,Trona Joint Unified
67918,Victor Elementary
67934,Victor Valley Union High
67959,Yucaipa-Calimesa Joint Unified
67967,Alpine Union Elementary
67975,Bonsall Union Elementary
67983,Borrego Springs Unified
67991,Cajon Valley Union
68007,Cardiff Elementary
68023,Chula Vista Elementary
68031,Coronado Unified
68049,Dehesa Elementary
68056,Del Mar Union Elementary
68080,Encinitas Union Elementary
68098,Escondido Union
68106,Escondido Union High
68114,Fallbrook Union Elementary
68122,Fallbrook Union High
68130,Grossmont Union High
68155,Jamul-Dulzura Union Elementary
68163,Julian Union Elementary
68171,Julian Union High
68189,Lakeside Union Elementary
68197,La Mesa-Spring Valley
68205,Lemon Grove
68213,Mountain Empire Unified
68221,National Elementary
68296,Poway Unified
68304,Ramona City Unified
68312,Rancho Santa Fe Elementary
68338,San Diego Unified
68346,San Dieguito Union High
68353,San Pasqual Union Elementary
68361,Santee Elementary
68379,San Ysidro Elementary
68387,Solana Beach Elementary
68395,South Bay Union Elementary
68403,Spencer Valley Elementary
68411,Sweetwater Union High
68437,Vallecitos Elementary
68452,Vista Unified
68478,San Francisco Unified
68486,Banta Elementary
68502,Escalon Unified
68544,Jefferson Elementary
68569,Lincoln Unified
68577,Linden Unified
68585,Lodi Unified
68593,Manteca Unified
68619,New Hope Elementary
68627,New Jerusalem Elementary
68635,Oak View Union Elementary
68650,Ripon Unified
68676,Stockton Unified
68700,Atascadero Unified
68726,Cayucos Elementary
68759,Lucia Mar Unified
68791,Pleasant Valley Joint Union Elementary
68809,San Luis Coastal Unified
68825,San Miguel Joint Union
68833,Shandon Joint Unified
68841,Templeton Unified
68858,Bayshore Elementary
68866,Belmont-Redwood Shores Elementary
68874,Brisbane Elementary
68882,Burlingame Elementary
68890,Cabrillo Unified
68908,Hillsborough City Elementary
68916,Jefferson Elementary
68924,Jefferson Union High
68932,Pacifica
68940,La Honda-Pescadero Unified
68957,Las Lomitas Elementary
68965,Menlo Park City Elementary
68973,Millbrae Elementary
68981,Portola Valley Elementary
68999,Ravenswood City Elementary
69005,Redwood City Elementary
69013,San Bruno Park Elementary
69021,San Carlos Elementary
69039,San Mateo-Foster City
69047,San Mateo Union High
69062,Sequoia Union High
69070,South San Francisco Unified
69088,Woodside Elementary
69104,Ballard Elementary
69112,Blochman Union Elementary
69120,Santa Maria-Bonita
69138,Buellton Union Elementary
69146,Carpinteria Unified
69161,Cold Spring Elementary
69179,College Elementary
69195,Goleta Union Elementary
69203,Guadalupe Union Elementary
69211,Hope Elementary
69229,Lompoc Unified
69245,Los Olivos Elementary
69252,Montecito Union Elementary
69260,Orcutt Union Elementary
69310,Santa Maria Joint Union High
69328,Santa Ynez Valley Union High
69336,Solvang Elementary
69344,Vista del Mar Union
69369,Alum Rock Union Elementary
69377,Berryessa Union Elementary
69385,Cambrian
69393,Campbell Union
69401,Campbell Union High
69419,Cupertino Union
69427,East Side Union High
69435,Evergreen Elementary
69450,Franklin-McKinley Elementary
69468,Fremont Union High
69484,Gilroy Unified
69492,Lakeside Joint
69500,Loma Prieta Joint Union Elementary
69518,Los Altos Elementary
69526,Los Gatos Union Elementary
69534,Los Gatos-Saratoga Joint Union High
69542,Luther Burbank
69575,Moreland Elementary
69583,Morgan Hill Unified
69591,Mountain View Whisman
69609,Mountain View-Los Altos Union High
69617,Mt. Pleasant Elementary
69625,Oak Grove Elementary
69633,Orchard Elementary
69641,Palo Alto Unified
69666,San Jose Unified
69674,Santa Clara Unified
69682,Saratoga Union Elementary
69690,Sunnyvale
69708,Union Elementary
69732,Bonny Doon Union Elementary
69757,Happy Valley Elementary
69765,Live Oak Elementary
69773,Mountain Elementary
69781,Pacific Elementary
69799,Pajaro Valley Unified
69807,San Lorenzo Valley Unified
69815,Santa Cruz City Elementary
69823,Santa Cruz City High
69849,Soquel Union Elementary
69856,Anderson Union High
69872,Bella Vista Elementary
69880,Black Butte Union Elementary
69914,Cascade Union Elementary
69922,Castle Rock Union Elementary
69948,Columbia Elementary
69955,Cottonwood Union Elementary
69971,Enterprise Elementary
69989,Fall River Joint Unified
69997,French Gulch-Whiskeytown Elementary
70003,Grant Elementary
70011,Happy Valley Union Elementary
70029,"Igo, Ono, Platina Union Elementary"
70037,Indian Springs Elementary
70045,Junction Elementary
70052,Millville Elementary
70078,North Cow Creek Elementary
70086,Oak Run Elementary
70094,Pacheco Union Elementary
70110,Redding Elementary
70128,Shasta Union Elementary
70136,Shasta Union High
70169,Whitmore Union Elementary
70177,Sierra-Plumas Joint Unified
70185,Big Springs Union Elementary
70193,Bogus Elementary
70201,Butteville Union Elementary
70227,Delphic Elementary
70243,Dunsmuir Elementary
70250,Dunsmuir Joint Union High
70292,Forks of Salmon Elementary
70318,Gazelle Union Elementary
70326,Grenada Elementary
70334,Happy Camp Union Elementary
70359,Hornbrook Elementary
70367,Junction Elementary
70375,Klamath River Union Elementary
70383,Little Shasta Elementary
70409,McCloud Union Elementary
70417,Montague Elementary
70425,Mt. Shasta Union Elementary
70458,Seiad Elementary
70466,Siskiyou Union High
70482,Weed Union Elementary
70490,Willow Creek Elementary
70508,Yreka Union Elementary
70516,Yreka Union High
70524,Benicia Unified
70532,Dixon Unified
70540,Fairfield-Suisun Unified
70565,Travis Unified
70573,Vacaville Unified
70581,Vallejo City Unified
70599,Alexander Valley Union Elementary
70607,West Sonoma County Union High
70615,Bellevue Union Elementary
70623,Bennett Valley Union Elementary
70649,Cinnabar Elementary
70656,Cloverdale Unified
70672,Dunham Elementary
70680,Forestville Union Elementary
70698,Fort Ross Elementary
70706,Geyserville Unified
70714,Gravenstein Union Elementary
70722,Guerneville Elementary
70730,Harmony Union Elementary
70763,Horicon Elementary
70789,Kenwood
70797,Liberty Elementary
70805,Mark West Union Elementary
70813,Monte Rio Union Elementary
70821,Montgomery Elementary
70839,Oak Grove Union Elementary
70847,Old Adobe Union
70854,Petaluma City Elementary
70862,Petaluma Joint Union High
70870,Piner-Olivet Union Elementary
70888,Kashia Elementary
70896,Rincon Valley Union Elementary
70904,Roseland Elementary
70912,Santa Rosa Elementary
70920,Santa Rosa High
70938,Sebastopol Union Elementary
70953,Sonoma Valley Unified
70961,Twin Hills Union Elementary
70979,Two Rock Union
70995,Waugh Elementary
71001,West Side Union Elementary
71019,Wilmar Union Elementary
71035,Wright Elementary
71043,Ceres Unified
71050,Chatom Union
71068,Denair Unified
71076,Empire Union Elementary
71084,Gratton Elementary
71092,Hart-Ransom Union Elementary
71100,Hickman Community Charter
71134,Keyes Union
71142,Knights Ferry Elementary
71167,Modesto City Elementary
71175,Modesto City High
71209,Paradise Elementary
71217,Patterson Joint Unified
71233,Roberts Ferry Union Elementary
71266,Salida Union Elementary
71274,Shiloh Elementary
71282,Stanislaus Union Elementary
71290,Sylvan Union Elementary
71324,Valley Home Joint Elementary
71357,Brittan Elementary
71365,Browns Elementary
71373,East Nicolaus Joint Union High
71381,Franklin Elementary
71399,Live Oak Unified
71407,Marcum-Illinois Union Elementary
71415,Meridian Elementary
71423,Nuestro Elementary
71431,Pleasant Grove Joint Union
71449,Sutter Union High
71456,Winship-Robbins
71464,Yuba City Unified
71472,Antelope Elementary
71498,Corning Union Elementary
71506,Corning Union High
71514,Elkins Elementary
71522,Evergreen Union
71530,Flournoy Union Elementary
71548,Gerber Union Elementary
71555,Kirkwood Elementary
71563,Lassen View Union Elementary
71571,Los Molinos Unified
71589,Manton Joint Union Elementary
71605,Mineral Elementary
71613,Plum Valley Elementary
71621,Red Bluff Union Elementary
71639,Red Bluff Joint Union High
71647,Reeds Creek Elementary
71654,Richfield Elementary
71662,Burnt Ranch Elementary
71670,Coffee Creek Elementary
71688,Cox Bar Elementary
71696,Douglas City Elementary
71738,Junction City Elementary
71746,Lewiston Elementary
71761,Trinity Center Elementary
71795,Allensworth Elementary
71803,Alpaugh Unified
71811,Alta Vista Elementary
71829,Buena Vista Elementary
71837,Burton Elementary
71845,Citrus South Tule Elementary
71852,Columbine Elementary
71860,Cutler-Orosi Joint Unified
71894,Ducor Union Elementary
71902,Earlimart Elementary
71910,Exeter Union Elementary
71928,Exeter Union High
71944,Hope Elementary
71951,Hot Springs Elementary
71969,Kings River Union Elementary
71985,Liberty Elementary
71993,Lindsay Unified
72009,Monson-Sultana Joint Union Elementary
72017,Oak Valley Union Elementary
72025,Outside Creek Elementary
72033,Palo Verde Union Elementary
72041,Pixley Union Elementary
72058,Pleasant View Elementary
72082,Richgrove Elementary
72090,Rockford Elementary
72108,Saucelito Elementary
72116,Sequoia Union Elementary
72132,Springville Union Elementary
72140,Stone Corral Elementary
72157,Strathmore Union Elementary
72173,Sundale Union Elementary
72181,Sunnyside Union Elementary
72199,Terra Bella Union Elementary
72207,Three Rivers Union Elementary
72215,Tipton Elementary
72223,Traver Joint Elementary
72231,Tulare City
72249,Tulare Joint Union High
72256,Visalia Unified
72264,Waukena Joint Union Elementary
72298,Woodville Union Elementary
72306,Belleview Elementary
72348,Columbia Union
72355,Curtis Creek Elementary
72363,Jamestown Elementary
72371,Sonora Elementary
72389,Sonora Union High
72397,Soulsbyville Elementary
72405,Summerville Elementary
72413,Summerville Union High
72421,Twain Harte-Long Barn Union Elementary
72447,Briggs Elementary
72454,Fillmore Unified
72462,Hueneme Elementary
72470,Mesa Union Elementary
72504,Mupu Elementary
72512,Ocean View
72520,Ojai Unified
72538,Oxnard
72546,Oxnard Union High
72553,Pleasant Valley
72561,Rio Elementary
72579,Santa Clara Elementary
72587,Santa Paula Elementary
72595,Santa Paula Union High
72603,Simi Valley Unified
72611,Somis Union
72652,Ventura Unified
72678,Davis Joint Unified
72686,Esparto Unified
72694,Washington Unified
72702,Winters Joint Unified
72710,Woodland Joint Unified
72728,Camptonville Elementary
72736,Marysville Joint Unified
72744,Plumas Lake Elementary
72751,Wheatland
72769,Wheatland Union High
73361,Shoreline Unified
73379,Pioneer Union Elementary
73387,Milpitas Unified
73437,Compton Unified
73445,Hacienda la Puente Unified
73452,Rowland Unified
73460,Walnut Valley Unified
73544,Rio Bravo-Greeley Union Elementary
73551,Carlsbad Unified
73569,Oceanside Unified
73585,Modoc Joint Unified
73593,Tulelake Basin Joint Unified
73601,Newman-Crows Landing Unified
73619,Gustine Unified
73635,Saddleback Valley Unified
73643,Tustin Unified
73650,Irvine Unified
73668,Eastern Sierra Unified
73676,Coachella Valley Unified
73684,Butte Valley Unified
73692,Mammoth Unified
73700,Mountain Union Elementary
73726,Merced River Union Elementary
73742,Sierra Sands Unified
73759,Conejo Valley Unified
73783,Black Oak Mine Unified
73791,San Marcos Unified
73809,Firebaugh-Las Deltas Joint Unified
73825,North Monterey County Unified
73833,Southern Trinity Joint Unified
73858,Baker Valley Unified
73866,Potter Valley Community Unified
73874,Oak Park Unified
73882,Cotati-Rohnert Park Unified
73890,Silver Valley Unified
73908,McFarland Unified
73916,Laytonville Unified
73924,Los Alamitos Unified
73932,Reef-Sunset Unified
73940,Moorpark Unified
73957,Snowline Joint Unified
73965,Central Unified
73973,Center Joint Unified
73981,Amador County Unified
73999,Kerman Unified
75002,Ross Valley Elementary
75010,Cuyama Joint Unified
75028,Mountain Valley Unified
75036,Fort Sage Unified
75044,Hesperia Unified
75051,Lucerne Valley Unified
75069,Upland Unified
75077,Apple Valley Unified
75085,Rocklin Unified
75093,Dublin Unified
75101,Pleasanton Unified
75119,Sunol Glen Unified
75127,Mendota Unified
75150,Big Sur Unified
75168,El Tejon Unified
75176,Lake Elsinore Unified
75184,Big Oak Flat-Groveland Unified
75192,Temecula Valley Unified
75200,Murrieta Valley Unified
75218,Leggett Valley Unified
75234,Golden Plains Unified
75242,Val Verde Unified
75259,Aromas/San Juan Unified
75267,Gateway Unified
75275,Sierra Unified
75283,Natomas Unified
75291,San Gabriel Unified
75309,Acton-Agua Dulce Unified
75317,Dos Palos Oro Loma Joint Unified
75325,Farmersville Unified
75333,Manhattan Beach Unified
75341,Redondo Beach Unified
75358,Windsor Unified
75366,Delhi Unified
75374,Ferndale Unified
75382,Mattole Unified
75390,Healdsburg Unified
75408,Riverdale Joint Unified
75416,Warner Unified
75432,Scotts Valley Unified
75440,Soledad Unified
75457,Paso Robles Joint Unified
75465,Coast Unified
75473,Gonzales Unified
75481,Orland Joint Unified
75499,Tracy Joint Unified
75507,Gridley Unified
75515,Eureka City Schools
75523,Porterville Unified
75531,Dinuba Unified
75549,Hughson Unified
75556,Riverbank Unified
75564,Oakdale Joint Unified
75572,Waterford Unified
75580,Golden Valley Unified
75598,Caruthers Unified
75606,Chawanakee Unified
75614,Valley Center-Pauma Unified
75630,SBE - Ridgecrest Charter
75663,SBE - New West Charter
75697,SBE - The School of Arts and Enterprise
75713,Alhambra Unified
75739,Turlock Unified
76372,SBE - Livermore Valley Charter
76414,Yosemite Unified
76455,Scott Valley Unified
76471,SBC - High Tech High
76489,SBC - Aspire Public Schools
76497,SBE - Lifeline Education Charter
76505,Twin Rivers Unified
76513,Trinity Alps Unified
76521,SBE - Doris Topsy-Elvord Academy
76547,SBE - Barack Obama Charter
76562,Hamilton Unified
76570,SBE - Western Sierra Collegiate Academy
76588,SBE - Everest Public High
76596,SBC - Pacific Technology
76604,SBE - River Montessori Elementary Charte
76638,SBE - Aspire Vanguard College Preparator
76653,SBE - Livermore Valley Charter Preparato
76661,SBE - Dixon Montessori Charter
76679,SBE - Ingenium Charter
76687,Bishop Unified
76703,SBE - San Francisco Flex Academy
76729,SBE - Long Valley Charter
76737,SBE - Today's Fresh Start Charter
76760,Lammersville Joint Unified
76778,Washington Unified
76786,Santa Barbara Unified
76794,Woodlake Unified
76802,Fortuna Elementary
